year,category,value
1999,CO2,371.2
1999,CH4,1861
1999,N2O,314.6
1999,SF6,0
2000,CO2,373.3
2000,CH4,1858
2000,N2O,314.9
2000,SF6,0
2001,CO2,375.6
2001,CH4,1851
2001,N2O,316
2001,SF6,0
2002,CO2,377.6
2002,CH4,1862
2002,N2O,318.3
2002,SF6,0
2003,CO2,377.9
2003,CH4,1874
2003,N2O,319.4
2003,SF6,0
2004,CO2,382.1
2004,CH4,1872
2004,N2O,320.7
2004,SF6,0
2005,CO2,384.3
2005,CH4,1855
2005,N2O,320.7
2005,SF6,0
2006,CO2,386.5
2006,CH4,1866
2006,N2O,321.7
2006,SF6,0
2007,CO2,388.6
2007,CH4,1890
2007,N2O,321.9
2007,SF6,6.3
2008,CO2,390.7
2008,CH4,1889
2008,N2O,322.7
2008,SF6,6.6
2009,CO2,392.6
2009,CH4,1900
2009,N2O,323.8
2009,SF6,7.3
2010,CO2,394.6
2010,CH4,1901
2010,N2O,324.9
2010,SF6,7.7
2011,CO2,396.8
2011,CH4,1907
2011,N2O,324.2
2011,SF6,8.1
2012,CO2,399.9
2012,CH4,1919
2012,N2O,326.5
2012,SF6,8.1
2013,CO2,402.4
2013,CH4,1931
2013,N2O,326.1
2013,SF6,8.2
2014,CO2,404.6
2014,CH4,1941
2014,N2O,325.8
2014,SF6,9.2
2015,CO2,407
2015,CH4,1952
2015,N2O,329
2015,SF6,9.3
2016,CO2,409.9
2016,CH4,1965
2016,N2O,330
2016,SF6,9.5
2017,CO2,412.2
2017,CH4,1970
2017,N2O,331.4
2017,SF6,9.6
2018,CO2,415.2
2018,CH4,1974
2018,N2O,332.9
2018,SF6,9.8
2019,CO2,417.8
2019,CH4,1986
2019,N2O,334
2019,SF6,10.2
2020,CO2,420.4
2020,CH4,1998
2020,N2O,335
2020,SF6,10.5
2021,CO2,423.1
2021,CH4,2005
2021,N2O,336.1
2021,SF6,11.2